isDGA,length,digits,entropy,vowel-cons,firstDigitIndex,ngrams
dga,13,0,3.3927474104487847,0.4444444444444444,0,897.3205128205128
dga,13,0,3.3927474104487847,0.18181818181818182,0,684.1144133644134
dga,9,0,2.4193819456463714,0.5,0,1275.832671957672
dga,13,0,3.0850551027564768,0.18181818181818182,0,558.8696581196581
dga,15,0,3.456564762130953,0.36363636363636365,0,924.3636141636142
dga,13,0,3.3927474104487847,0.18181818181818182,0,712.6800699300699
dga,22,0,3.299896391167891,0.15789473684210525,0,850.196608946609
dga,13,0,3.180832987205441,0.4444444444444444,0,1297.0911033411032
dga,12,0,3.4182958340544896,0.2,0,813.8949494949494
dga,13,0,3.238901256602631,0.0,0,806.6688034188036
dga,25,6,4.083856189774723,0.1875,11,715.4154830917873
dga,17,0,3.1018812234760182,0.5454545454545454,0,1162.4615196078432
dga,24,0,3.772055208874201,0.14285714285714285,0,753.8876262626263
dga,13,0,3.7004397181410926,0.3,0,1067.4578477078478
dga,25,0,3.683856189774723,0.08695652173913043,0,663.2162801932367
dga,9,0,2.5032583347756456,0.2857142857142857,0,1208.0608465608466
dga,14,0,3.2359263506290334,0.16666666666666666,0,926.1843711843712
dga,13,0,3.3927474104487847,0.18181818181818182,0,969.0736208236207
dga,24,10,4.16829583405449,0.16666666666666666,1,497.50016469038206
dga,28,0,4.208966082694623,0.2727272727272727,0,775.8963844797178
dga,13,0,2.9312089489103235,0.625,0,840.8084693084692
dga,25,7,3.973660689688185,0.125,1,593.8134782608696
dga,9,0,2.725480556997868,0.5,0,815.1541005291006
dga,26,9,4.056020968057881,0.5454545454545454,3,784.500641025641
dga,20,0,3.7841837197791888,0.25,0,880.9819688109161
dga,26,7,3.9500637564362093,0.5833333333333334,5,795.5266666666666
dga,13,0,3.334679141051595,0.3,0,1050.420745920746
dga,12,0,3.2516291673878226,0.5,0,1485.9727272727275
dga,25,9,4.133660689688185,0.3333333333333333,7,575.3259903381643
dga,26,7,4.056020968057881,0.46153846153846156,2,844.1373076923077
dga,13,0,3.3927474104487847,0.18181818181818182,0,729.9794094794096
dga,32,15,3.641126767019874,0.8888888888888888,1,656.8596326164875
dga,15,0,3.32323142879762,0.6666666666666666,0,1172.4843711843712
dga,15,0,3.32323142879762,0.15384615384615385,0,937.9065934065934
dga,25,5,4.403856189774722,0.17647058823529413,1,672.5241062801932
dga,13,0,3.238901256602631,0.8571428571428571,0,1188.3545066045065
dga,24,2,4.053508854797679,0.4666666666666667,14,1021.4684892402285
dga,23,0,3.9690016298759936,0.35294117647058826,0,950.1869314260617
dga,15,0,3.3232314287976203,0.5,0,1152.0540903540902
dga,13,0,3.238901256602631,0.625,0,1132.0075757575758
dga,25,8,4.323856189774723,0.21428571428571427,2,552.8202657004831
dga,12,0,3.418295834054489,0.09090909090909091,0,661.6424242424242
dga,13,0,3.085055102756477,0.08333333333333333,0,736.2542735042734
dga,24,6,4.022055208874201,0.38461538461538464,2,739.3055006587615
dga,14,0,3.3787834934861767,0.2727272727272727,0,989.3177655677655
dga,26,7,4.085055102756476,0.1875,1,587.205170940171
dga,25,9,4.163856189774723,0.23076923076923078,1,631.9743961352657
dga,14,0,3.378783493486176,0.4,0,1120.2164224664227
dga,26,6,3.979097891134804,0.3333333333333333,1,736.6591452991452
dga,27,12,4.004344446367528,0.07142857142857142,1,386.018081671415
dga,12,0,3.084962500721156,0.2,0,1153.1934343434343
dga,20,0,3.821928094887362,0.25,0,911.2637426900586
dga,13,0,3.3927474104487847,0.3,0,1054.1604506604506
dga,12,0,3.188721875540867,0.3333333333333333,0,842.7979797979797
dga,23,0,3.708132064658602,0.2777777777777778,0,919.6281134324613
dga,14,0,3.182005814760214,0.4,0,939.8507326007325
dga,25,9,3.893660689688185,0.06666666666666667,3,476.57722222222225
dga,8,0,2.5,1.0,0,1512.517857142857
dga,14,0,3.378783493486176,0.2727272727272727,0,894.1040903540902
dga,26,10,4.238901256602629,0.23076923076923078,1,599.0428205128204
dga,12,0,3.2516291673878226,0.2,0,762.1974747474748
dga,12,0,3.0220552088742,0.3333333333333333,0,1002.0414141414141
dga,15,0,3.4565647621309536,0.07142857142857142,0,824.6
dga,14,0,3.378783493486176,0.07692307692307693,0,694.0677655677656
dga,13,0,3.3927474104487847,0.3,0,928.0464257964259
dga,19,0,3.4713544870139277,0.11764705882352941,0,818.895826166724
dga,14,0,3.3787834934861767,0.5555555555555556,0,882.7112332112332
dga,30,0,3.872905595320056,0.5789473684210527,0,960.9420361247948
dga,13,0,3.334679141051595,0.3,0,1018.9590132090133
dga,14,0,3.521640636343319,0.07692307692307693,0,827.46336996337
dga,8,0,3.0,0.6,0,1253.970238095238
dga,27,12,3.9545304475546996,0.5,1,449.5565052231719
